Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkbug,,,,16-05-2025 15:29:39,16-05-2025 15:33:48,4m - 8.531s,PASSED
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,16-05-2025 15:29:52,16-05-2025 15:33:48,3m - 55.796s,PASSED
Start listener action : beforeTest,,,,16-05-2025 15:29:52,16-05-2025 15:29:56,3.248s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.005s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.037s,PASSED
"auto5 = DataTest.getUserTest(""auto5"")",,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.047s,PASSED
"auto6 = DataTest.getUserTest(""auto6"")",,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.001s,PASSED
"auto7 = DataTest.getUserTest(""auto7"")",,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,16-05-2025 15:29:56,16-05-2025 15:29:56,0.142s,PASSED
loginScreen.login(auto5),,,,16-05-2025 15:29:56,16-05-2025 15:30:06,10.363s,PASSED
homeScreen.openRequestList(),,,,16-05-2025 15:30:06,16-05-2025 15:30:12,5.564s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,16-05-2025 15:30:12,16-05-2025 15:30:16,3.582s,PASSED
pdfSignScreen.fillInTitle(title),,,,16-05-2025 15:30:16,16-05-2025 15:30:19,3.406s,PASSED
pdfSignScreen.selectPriority(priority),,,,16-05-2025 15:30:19,16-05-2025 15:30:21,2.067s,PASSED
pdfSignScreen.selectTime(time),,,,16-05-2025 15:30:21,16-05-2025 15:30:24,3.111s,PASSED
pdfSignScreen.fillInDescription(description),,,,16-05-2025 15:30:24,16-05-2025 15:30:26,1.903s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,16-05-2025 15:30:26,16-05-2025 15:30:33,6.567s,PASSED
