Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,,,,18-05-2025 14:17:42,18-05-2025 15:22:34,1h - 4m - 52.033s,ERROR
,,,,,,,
Test Cases/IPAPER APP/060 DINH NGHIA QUY TRINH CO SAN,,,,18-05-2025 14:17:51,18-05-2025 14:20:17,2m - 26.266s,PASSED
Start listener action : beforeTest,,,,18-05-2025 14:17:51,18-05-2025 14:17:53,2.169s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.001s,PASSED
"PROCESS_NAME = ""Automation Test""",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.000s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.009s,PASSED
"auto5 = DataTest.getUserTest(""auto5"")",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.009s,PASSED
"auto6 = DataTest.getUserTest(""auto6"")",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.000s,PASSED
"auto7 = DataTest.getUserTest(""auto7"")",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.003s,PASSED
"auto8 = DataTest.getUserTest(""auto8"")",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,18-05-2025 14:17:53,18-05-2025 14:17:53,0.030s,PASSED
loginScreen.login(auto5),,,,18-05-2025 14:17:53,18-05-2025 14:18:02,9.148s,PASSED
homeScreen.openRequestList(),,,,18-05-2025 14:18:02,18-05-2025 14:18:08,5.449s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,18-05-2025 14:18:08,18-05-2025 14:18:11,3.168s,PASSED
pdfSignScreen.fillInTitle(title),,,,18-05-2025 14:18:11,18-05-2025 14:18:14,3.583s,PASSED
pdfSignScreen.selectPriority(priority),,,,18-05-2025 14:18:14,18-05-2025 14:18:16,2.155s,PASSED
pdfSignScreen.selectTime(time),,,,18-05-2025 14:18:16,18-05-2025 14:18:20,3.209s,PASSED
pdfSignScreen.fillInDescription(description),,,,18-05-2025 14:18:20,18-05-2025 14:18:22,1.918s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,18-05-2025 14:18:22,18-05-2025 14:18:23,1.135s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,18-05-2025 14:18:23,18-05-2025 14:18:29,6.383s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,18-05-2025 14:18:29,18-05-2025 14:18:34,5.276s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,18-05-2025 14:18:34,18-05-2025 14:18:41,6.436s,PASSED
pdfSignScreen.selectProcessDefined(PROCESS_NAME),,,,18-05-2025 14:18:41,18-05-2025 14:18:45,3.901s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,18-05-2025 14:18:45,18-05-2025 14:18:48,2.855s,PASSED
pdfSignScreen.fillInOpinion(document.getComment()),,,,18-05-2025 14:18:48,18-05-2025 14:18:48,0.812s,PASSED
pdfSignScreen.submitRequest(),,,,18-05-2025 14:18:48,18-05-2025 14:19:03,14.791s,PASSED
document.setStatus(WAIT_APPROVE),,,,18-05-2025 14:19:03,18-05-2025 14:19:03,0.016s,PASSED
documentInformationScreen.backToHome(),,,,18-05-2025 14:19:03,18-05-2025 14:19:03,0.276s,PASSED
homeScreen.goToOutComingDocument(),,,,18-05-2025 14:19:03,18-05-2025 14:19:14,10.251s,PASSED
outComingDocument.viewInformationDocument(document),,,,18-05-2025 14:19:14,18-05-2025 14:19:15,1.348s,PASSED
documentInformationScreen.checkDocumentTitle(document),,,,18-05-2025 14:19:15,18-05-2025 14:19:20,4.809s,PASSED
