Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checklist,,,,21-05-2025 14:43:16,21-05-2025 14:43:25,9.567s,ERROR
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.571s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.062s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.018s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.008s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.004s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.095s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.125s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.124s,ERROR
,,,,,,,
Test Cases/IPAPER APP/003 TAO YEU CAU KHONG CO ASSIGNER,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.145s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.009s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
"STATUS = ""Đang đợi xử lý""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"ERROR_MESSAGE = ""Vui lòng nhập Email người nhận""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.004s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.003s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.006s,ERROR
,,,,,,,
Test Cases/IPAPER APP/004 TAO YEU CAU LAY Y KIEN_1 NGUOI,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.122s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.009s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"ASSIGNER_COMMENT = ""Comment by assigner""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"documentTitle = ""Trình ký "" + System.currentTimeMillis()",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.004s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.010s,ERROR
,,,,,,,
Test Cases/IPAPER APP/005 TAO YEU CAU LAY Y KIEN_NHIEU NGUOI,,,,21-05-2025 14:43:17,21-05-2025 14:43:18,0.115s,ERROR
Start listener action : beforeTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.011s,ERROR
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"USER_CREATE_COMMENT = ""Commented by user create document""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.000s,PASSED
"AUTO6_COMMENT = ""Commented by auto6""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"AUTO7_COMMENT = ""Commented by auto7""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.000s,PASSED
"AUTO8_COMMENT = ""Commented by auto8""",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
auto5 = DataTest.getUserTest5(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
auto6 = DataTest.getUserTest6(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto7 = DataTest.getUserTest7(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
auto8 = DataTest.getUserTest8(),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.001s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, null, ""dummy.pdf"", ""dummy.pdf"")",,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.002s,PASSED
loginScreen.login(auto5),,,,21-05-2025 14:43:17,21-05-2025 14:43:17,0.003s,ERROR
Start listener action : afterTest,,,,21-05-2025 14:43:17,21-05-2025 14:43:18,0.005s,ERROR
,,,,,,,
