Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fullcase,,,,23-05-2025 22:49:25,24-05-2025 02:18:17,3h - 28m - 51.554s,ERROR
,,,,,,,
Test Cases/IPAPER APP/002 TAO YEU CAU,,,,23-05-2025 22:49:33,23-05-2025 22:52:56,3m - 22.535s,PASSED
Start listener action : beforeTest,,,,23-05-2025 22:49:33,23-05-2025 22:49:36,2.759s,PASSED
"REQUEST_NAME = ""Trình ký PDF có sẵn""",,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.001s,PASSED
TO_DAY = SimpleDateFormat(dd/MM/yyyy).format(new java.util.Date()),,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.008s,PASSED
auto5 = DataTest.getUserTest5(),,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.009s,PASSED
auto6 = DataTest.getUserTest6(),,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.001s,PASSED
auto7 = DataTest.getUserTest7(),,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.000s,PASSED
"document = DataTest.createDocumentTest(auto5, auto6, auto7, ""dummy.pdf"", ""dummy.pdf"")",,,,23-05-2025 22:49:36,23-05-2025 22:49:36,0.035s,PASSED
loginScreen.login(auto5),,,,23-05-2025 22:49:36,23-05-2025 22:49:46,9.832s,PASSED
homeScreen.openRequestList(),,,,23-05-2025 22:49:46,23-05-2025 22:49:51,4.886s,PASSED
homeScreen.createRequest(REQUEST_NAME),,,,23-05-2025 22:49:51,23-05-2025 22:49:56,4.746s,PASSED
pdfSignScreen.fillInTitle(title),,,,23-05-2025 22:49:56,23-05-2025 22:49:58,2.720s,PASSED
pdfSignScreen.selectPriority(priority),,,,23-05-2025 22:49:58,23-05-2025 22:50:01,2.010s,PASSED
pdfSignScreen.selectTime(time),,,,23-05-2025 22:50:01,23-05-2025 22:50:04,3.386s,PASSED
pdfSignScreen.fillInDescription(description),,,,23-05-2025 22:50:04,23-05-2025 22:50:06,1.924s,PASSED
pdfSignScreen.selectAssigner(getAssigner().getEmail()),,,,23-05-2025 22:50:06,23-05-2025 22:50:13,7.041s,PASSED
pdfSignScreen.openMainFileBrowser(),,,,23-05-2025 22:50:13,23-05-2025 22:50:18,5.075s,PASSED
fileBrowserScreen.attachFile(mainFileName),,,,23-05-2025 22:50:18,23-05-2025 22:50:27,9.414s,PASSED
pdfSignScreen.openSubFileBrowser(),,,,23-05-2025 22:50:27,23-05-2025 22:50:29,1.384s,PASSED
fileBrowserScreen.attachFile(subFileName),,,,23-05-2025 22:50:29,23-05-2025 22:50:40,11.013s,PASSED
pdfSignScreen.selectRelatedMember(getCc().getEmail()),,,,23-05-2025 22:50:40,23-05-2025 22:50:46,6.055s,PASSED
pdfSignScreen.performAction(SEND_APPROVE),,,,23-05-2025 22:50:46,23-05-2025 22:50:49,2.875s,PASSED
